school_name,district,school_board,min_maths,min_science,course,annual_fee,transport,ranking,parents_salary_annual,student_location,school_location
Global Public School,Trichy,IGCSE,35,35,Commerce,99177,Van,3,278349,Ambattur,Saidapet
Evergreen International,Kanchipuram,ICSE,85,85,Computer Science,90230,Van,4,158485,Ambattur,Gandhipuram
Unity Academy,Chennai,IGCSE,35,35,Commerce,143123,Own Vehicle,9,253878,Guindy,Kotturpuram
Unity Academy,Kanchipuram,State Board,85,85,Computer Science,108746,Walk,5,327942,Kotturpuram,KK Nagar
Little Flower International,Vellore,CBSE,35,35,Commerce,56091,Walk,10,182920,Chromepet,Adyar
Nightingale Academy,Chennai,IGCSE,35,35,Commerce,60976,Bus,10,337881,Gandhinagar,Gandhinagar
Kendriya Matric School,Vellore,State Board,85,85,Computer Science,126677,Van,10,101701,Tambaram,Ambattur
Holy Cross School,Kanchipuram,State Board,60,80,Maths Biology,113835,Van,2,238091,Anna Nagar,Town Hall
Bharathi International,Chennai,State Board,85,85,Computer Science,120991,Van,2,362451,RS Puram,Mylapore
Nightingale International,Madurai,ICSE,35,35,Commerce,42322,Own Vehicle,9,193665,Tambaram,Kotturpuram
Don Bosco School,Salem,IGCSE,35,35,Commerce,130708,Own Vehicle,6,366171,Gandhinagar,Town Hall
Sri Ram School,Trichy,IGCSE,35,35,Arts,135853,Own Vehicle,2,155789,Town Hall,Town Hall
Bharathi Matric School,Coimbatore,IGCSE,85,85,Computer Science,73311,Own Vehicle,10,256471,RS Puram,Ambattur
Sri Ram School,Vellore,CBSE,35,35,Commerce,106205,Own Vehicle,10,366161,Lakshmi Mills,Gandhinagar
Holy Cross International,Salem,IGCSE,85,85,Computer Science,40292,Van,1,204286,Saidapet,Saidapet
Unity HSS,Coimbatore,ICSE,35,35,Commerce,141294,Van,7,180131,KK Nagar,Gandhinagar
Holy Cross Matric School,Erode,ICSE,35,35,Commerce,141052,Walk,2,296038,Kotturpuram,T. Nagar
Bharathi HSS,Tirunelveli,ICSE,35,35,Arts,83115,Walk,4,184698,Anna Nagar,Besant Nagar
Holy Cross Academy,Thanjavur,State Board,85,85,Computer Science,32936,Walk,5,382789,Gandhinagar,Anna Nagar
Don Bosco International,Coimbatore,ICSE,85,85,Computer Science,109109,Bus,1,378058,Chromepet,Tambaram
Oxford Matric School,Trichy,CBSE,60,80,Maths Biology,133765,Van,10,100299,KK Nagar,Adyar
St. Joseph School,Kanchipuram,CBSE,60,80,Maths Biology,61342,Van,3,269951,Chromepet,Perambur
Aditya School,Coimbatore,CBSE,35,35,Commerce,42275,Bus,6,356170,RS Puram,Velachery
Green Valley School,Salem,CBSE,35,35,Commerce,41614,Walk,9,110211,Lakshmi Mills,T. Nagar
Unity International,Tirunelveli,CBSE,85,85,Computer Science,84245,Van,10,158650,Chromepet,Adyar
Unity HSS,Chennai,IGCSE,35,35,Commerce,136057,Walk,7,290306,Guindy,Anna Nagar
Unity International,Coimbatore,CBSE,85,85,Computer Science,67219,Van,2,261225,Mylapore,Velachery
Evergreen Matric School,Thanjavur,State Board,35,35,Commerce,74925,Own Vehicle,8,225541,Gandhipuram,Mylapore
Sri Ram HSS,Thanjavur,ICSE,35,35,Arts,81370,Walk,4,130369,Perambur,Anna Nagar
Don Bosco International,Erode,IGCSE,35,35,Commerce,120631,Bus,6,226286,KK Nagar,Guindy
Holy Cross Academy,Tirunelveli,ICSE,35,35,Commerce,115023,Walk,2,397458,Tambaram,Gandhipuram
Sri Ram International,Coimbatore,State Board,85,85,Computer Science,131400,Van,9,141291,Chromepet,Velachery
Holy Cross HSS,Erode,State Board,35,35,Commerce,139505,Walk,1,144907,Anna Nagar,Gandhipuram
St. Joseph HSS,Kanchipuram,ICSE,35,35,Commerce,45280,Walk,4,354798,Guindy,Besant Nagar
Don Bosco Matric School,Tirunelveli,CBSE,35,35,Commerce,124956,Own Vehicle,10,136287,Town Hall,RS Puram
Don Bosco Matric School,Kanchipuram,CBSE,35,35,Arts,104822,Own Vehicle,1,379291,Besant Nagar,Pallavaram
Nightingale Academy,Tirunelveli,State Board,35,35,Commerce,25800,Van,3,165934,Anna Nagar,Mylapore
Sri Ram School,Chennai,CBSE,35,35,Arts,122794,Van,7,167314,RS Puram,Kotturpuram
St. Joseph School,Tirunelveli,State Board,35,35,Arts,119581,Own Vehicle,10,349184,Perambur,Gandhinagar
Kendriya HSS,Madurai,ICSE,85,85,Computer Science,123885,Bus,2,388255,Lakshmi Mills,Perambur
Holy Cross International,Vellore,IGCSE,35,35,Arts,79287,Own Vehicle,4,186574,Velachery,KK Nagar
St. Joseph International,Coimbatore,State Board,85,85,Computer Science,113895,Walk,9,238966,Adyar,Guindy
Green Valley School,Erode,CBSE,35,35,Commerce,26007,Van,5,376653,Velachery,Guindy
Aditya Academy,Salem,State Board,60,80,Maths Biology,40726,Bus,8,321846,Pallavaram,RS Puram
Oxford International,Thanjavur,ICSE,60,80,Maths Biology,90570,Own Vehicle,2,211043,T. Nagar,KK Nagar
Global Public HSS,Vellore,CBSE,85,85,Computer Science,137998,Own Vehicle,10,382746,T. Nagar,Lakshmi Mills
Nightingale International,Salem,CBSE,35,35,Arts,78088,Bus,6,205461,Besant Nagar,RS Puram
Don Bosco Academy,Coimbatore,IGCSE,35,35,Arts,135688,Bus,4,263429,T. Nagar,Pallavaram
Zenith HSS,Erode,State Board,35,35,Arts,122754,Own Vehicle,4,309186,Tambaram,Anna Nagar
Sri Ram Matric School,Coimbatore,ICSE,60,80,Maths Biology,143741,Own Vehicle,6,295779,Gandhipuram,Lakshmi Mills
Little Flower HSS,Madurai,State Board,60,80,Maths Biology,50856,Van,10,329690,Gandhipuram,Pallavaram
Oxford International,Vellore,IGCSE,85,85,Computer Science,114277,Own Vehicle,6,371358,Besant Nagar,Ambattur
Sri Ram International,Vellore,State Board,35,35,Arts,129376,Own Vehicle,10,336708,Tambaram,Ambattur
Zenith HSS,Salem,IGCSE,35,35,Commerce,84233,Bus,1,163441,KK Nagar,Mylapore
Sri Ram HSS,Kanchipuram,IGCSE,35,35,Commerce,85648,Bus,8,229973,Gandhinagar,T. Nagar
St. Joseph Matric School,Vellore,ICSE,60,80,Maths Biology,33109,Walk,2,217806,Chromepet,Pallavaram
Zenith School,Chennai,ICSE,85,85,Computer Science,117749,Walk,8,133568,Guindy,Velachery
St. Joseph Academy,Salem,IGCSE,60,80,Maths Biology,78578,Own Vehicle,10,277254,Saidapet,RS Puram
Sri Ram Academy,Coimbatore,IGCSE,35,35,Commerce,62243,Own Vehicle,10,111028,Mylapore,Lakshmi Mills
Sri Ram Matric School,Madurai,State Board,35,35,Commerce,65662,Walk,3,390414,Tambaram,Guindy
Bharathi Matric School,Erode,State Board,85,85,Computer Science,131585,Van,9,220646,Mylapore,RS Puram
Zenith Academy,Chennai,State Board,35,35,Arts,65483,Van,4,215457,Lakshmi Mills,Pallavaram
Little Flower School,Madurai,ICSE,35,35,Arts,35114,Own Vehicle,2,103770,Ambattur,Adyar
Holy Cross Academy,Kanchipuram,ICSE,85,85,Computer Science,103282,Walk,3,137220,Perambur,Perambur
Don Bosco Matric School,Madurai,IGCSE,60,80,Maths Biology,30726,Walk,6,130866,Kotturpuram,Tambaram
Unity Matric School,Salem,IGCSE,60,80,Maths Biology,55671,Van,5,220031,Chromepet,Saidapet
St. Joseph Matric School,Vellore,IGCSE,60,80,Maths Biology,125851,Own Vehicle,7,135337,Kotturpuram,Perambur
Oxford School,Kanchipuram,ICSE,35,35,Arts,139426,Own Vehicle,1,116469,RS Puram,T. Nagar
Don Bosco Academy,Thanjavur,CBSE,35,35,Arts,118244,Bus,5,273239,Velachery,Chromepet
Bharathi International,Thanjavur,ICSE,60,80,Maths Biology,133926,Walk,2,137149,Velachery,Town Hall
Kendriya Academy,Chennai,IGCSE,35,35,Arts,31980,Walk,9,369565,T. Nagar,Anna Nagar
Global Public HSS,Tirunelveli,ICSE,60,80,Maths Biology,28694,Own Vehicle,2,224782,Town Hall,Saidapet
Aditya School,Madurai,CBSE,35,35,Commerce,62601,Walk,3,246002,Anna Nagar,Besant Nagar
Unity Matric School,Chennai,CBSE,35,35,Arts,27490,Own Vehicle,4,354496,Pallavaram,RS Puram
Sri Ram Academy,Trichy,State Board,35,35,Arts,40970,Bus,4,212321,Tambaram,Saidapet
Sri Ram HSS,Vellore,CBSE,35,35,Arts,107831,Van,3,382713,Velachery,Perambur
Green Valley Matric School,Tirunelveli,ICSE,35,35,Arts,99798,Walk,3,169369,Pallavaram,Kotturpuram
Zenith Academy,Coimbatore,CBSE,85,85,Computer Science,76177,Walk,1,399391,Velachery,Gandhipuram
St. Joseph Academy,Chennai,State Board,35,35,Arts,128352,Bus,6,347815,Anna Nagar,Saidapet
Aditya Matric School,Tirunelveli,ICSE,85,85,Computer Science,30811,Own Vehicle,9,227400,T. Nagar,KK Nagar
Don Bosco International,Vellore,ICSE,60,80,Maths Biology,131364,Van,2,347974,Adyar,Chromepet
Bharathi School,Chennai,ICSE,85,85,Computer Science,141102,Bus,6,313416,Velachery,Gandhinagar
Don Bosco Matric School,Vellore,State Board,35,35,Arts,29799,Van,5,199829,T. Nagar,Guindy
Don Bosco Academy,Salem,CBSE,85,85,Computer Science,129771,Own Vehicle,7,149453,Adyar,Tambaram
Kendriya International,Tirunelveli,ICSE,35,35,Arts,90038,Walk,6,150819,Town Hall,Besant Nagar
Aditya HSS,Erode,CBSE,35,35,Commerce,81440,Van,9,325994,T. Nagar,Kotturpuram
Sri Ram HSS,Tirunelveli,State Board,35,35,Commerce,65173,Walk,10,285753,Chromepet,Saidapet
Nightingale International,Tirunelveli,IGCSE,60,80,Maths Biology,30551,Own Vehicle,10,322077,Velachery,Pallavaram
Holy Cross HSS,Coimbatore,IGCSE,35,35,Commerce,72619,Van,1,315535,Gandhinagar,Gandhinagar
Green Valley School,Coimbatore,ICSE,35,35,Arts,127041,Own Vehicle,6,344855,Besant Nagar,Town Hall
Evergreen School,Vellore,State Board,85,85,Computer Science,73760,Walk,2,128401,Mylapore,Velachery
Zenith Academy,Erode,State Board,60,80,Maths Biology,110139,Own Vehicle,4,151599,Tambaram,T. Nagar
Nightingale School,Vellore,IGCSE,85,85,Computer Science,144739,Bus,5,131778,Gandhipuram,Gandhinagar
Little Flower Matric School,Salem,IGCSE,35,35,Arts,51237,Bus,3,311089,Pallavaram,Kotturpuram
Oxford International,Coimbatore,State Board,35,35,Arts,112535,Own Vehicle,2,277892,Pallavaram,Velachery
Kendriya Academy,Madurai,ICSE,35,35,Commerce,129031,Own Vehicle,9,157288,Besant Nagar,Kotturpuram
Little Flower School,Trichy,IGCSE,85,85,Computer Science,28445,Own Vehicle,9,230367,Velachery,Pallavaram
Unity Matric School,Madurai,CBSE,35,35,Commerce,33617,Own Vehicle,7,200448,Besant Nagar,Guindy
Aditya International,Kanchipuram,CBSE,35,35,Arts,41426,Own Vehicle,2,199724,Saidapet,Ambattur
Holy Cross Matric School,Tirunelveli,ICSE,35,35,Arts,140075,Van,3,381168,Mylapore,Town Hall
Don Bosco HSS,Thanjavur,ICSE,85,85,Computer Science,64862,Van,3,335202,RS Puram,Anna Nagar
St. Joseph Matric School,Salem,CBSE,60,80,Maths Biology,57847,Van,9,173495,RS Puram,Besant Nagar
Holy Cross Academy,Kanchipuram,CBSE,60,80,Maths Biology,90873,Van,10,321187,Saidapet,Town Hall
Oxford Matric School,Kanchipuram,State Board,60,80,Maths Biology,135432,Bus,1,196200,Perambur,KK Nagar
Holy Cross Matric School,Salem,ICSE,85,85,Computer Science,125526,Walk,10,246037,Saidapet,Besant Nagar
Unity Matric School,Salem,State Board,85,85,Computer Science,88300,Van,7,342550,Saidapet,Mylapore
Sri Ram HSS,Madurai,IGCSE,35,35,Arts,79476,Walk,8,230970,Kotturpuram,Perambur
Evergreen School,Tirunelveli,State Board,35,35,Commerce,121233,Own Vehicle,7,139523,Adyar,Gandhinagar
Zenith Matric School,Coimbatore,State Board,35,35,Commerce,56685,Walk,2,332328,RS Puram,Town Hall
Little Flower School,Coimbatore,CBSE,35,35,Arts,63038,Walk,10,388528,Adyar,Gandhinagar
Don Bosco School,Tirunelveli,State Board,60,80,Maths Biology,49881,Van,8,151332,Ambattur,Guindy
Unity Academy,Vellore,CBSE,35,35,Arts,36802,Walk,9,126522,Town Hall,Gandhinagar
Little Flower Matric School,Tirunelveli,CBSE,60,80,Maths Biology,31624,Own Vehicle,8,383423,RS Puram,Tambaram
Bharathi Matric School,Chennai,CBSE,35,35,Arts,81482,Van,5,107737,Velachery,Anna Nagar
St. Joseph HSS,Erode,CBSE,35,35,Arts,99747,Van,6,148896,Mylapore,Chromepet
Sri Ram International,Thanjavur,IGCSE,35,35,Commerce,125191,Own Vehicle,10,223930,Mylapore,Mylapore
Oxford HSS,Erode,State Board,85,85,Computer Science,129188,Own Vehicle,9,187194,Tambaram,T. Nagar
Little Flower Matric School,Thanjavur,IGCSE,60,80,Maths Biology,90546,Bus,1,313078,Kotturpuram,Velachery
Nightingale Academy,Vellore,IGCSE,60,80,Maths Biology,44521,Van,6,354615,Gandhipuram,Saidapet
Oxford International,Kanchipuram,State Board,35,35,Commerce,102820,Own Vehicle,9,352370,Saidapet,Besant Nagar
Nightingale Matric School,Salem,IGCSE,35,35,Arts,131921,Bus,6,212065,KK Nagar,Tambaram
Global Public Matric School,Salem,CBSE,85,85,Computer Science,103238,Walk,5,310260,Gandhinagar,Velachery
Nightingale HSS,Kanchipuram,IGCSE,60,80,Maths Biology,47349,Walk,3,130741,Kotturpuram,Besant Nagar
Green Valley Matric School,Coimbatore,ICSE,60,80,Maths Biology,27482,Walk,6,186317,Velachery,Besant Nagar
Global Public School,Erode,IGCSE,60,80,Maths Biology,139401,Bus,3,298691,T. Nagar,Kotturpuram
Zenith Academy,Vellore,IGCSE,60,80,Maths Biology,66124,Van,8,101130,Kotturpuram,Anna Nagar
Zenith Academy,Salem,IGCSE,35,35,Commerce,50200,Van,5,304693,Tambaram,T. Nagar
Little Flower Academy,Salem,ICSE,35,35,Commerce,115471,Walk,6,239042,RS Puram,Lakshmi Mills
Zenith Academy,Salem,CBSE,35,35,Commerce,100166,Walk,7,338555,Adyar,Velachery
Bharathi HSS,Salem,CBSE,60,80,Maths Biology,70398,Walk,5,249552,Tambaram,Ambattur
Little Flower Matric School,Salem,State Board,60,80,Maths Biology,42992,Bus,10,321777,Anna Nagar,Velachery
Little Flower HSS,Thanjavur,ICSE,60,80,Maths Biology,108616,Van,1,391382,T. Nagar,Lakshmi Mills
St. Joseph International,Coimbatore,ICSE,35,35,Arts,25679,Van,7,355155,Velachery,Pallavaram
